"Predicted","Actual","Freq","k"
"Iris-setosa","Iris-setosa",16,1
"Iris-versicolor","Iris-setosa",0,1
"Iris-virginica","Iris-setosa",0,1
"Iris-setosa","Iris-versicolor",0,1
"Iris-versicolor","Iris-versicolor",19,1
"Iris-virginica","Iris-versicolor",0,1
"Iris-setosa","Iris-virginica",0,1
"Iris-versicolor","Iris-virginica",2,1
"Iris-virginica","Iris-virginica",23,1
"Iris-setosa","Iris-setosa",16,3
"Iris-versicolor","Iris-setosa",0,3
"Iris-virginica","Iris-setosa",0,3
"Iris-setosa","Iris-versicolor",0,3
"Iris-versicolor","Iris-versicolor",19,3
"Iris-virginica","Iris-versicolor",0,3
"Iris-setosa","Iris-virginica",0,3
"Iris-versicolor","Iris-virginica",2,3
"Iris-virginica","Iris-virginica",23,3
"Iris-setosa","Iris-setosa",16,5
"Iris-versicolor","Iris-setosa",0,5
"Iris-virginica","Iris-setosa",0,5
"Iris-setosa","Iris-versicolor",0,5
"Iris-versicolor","Iris-versicolor",19,5
"Iris-virginica","Iris-versicolor",0,5
"Iris-setosa","Iris-virginica",0,5
"Iris-versicolor","Iris-virginica",2,5
"Iris-virginica","Iris-virginica",23,5
"Iris-setosa","Iris-setosa",16,7
"Iris-versicolor","Iris-setosa",0,7
"Iris-virginica","Iris-setosa",0,7
"Iris-setosa","Iris-versicolor",0,7
"Iris-versicolor","Iris-versicolor",19,7
"Iris-virginica","Iris-versicolor",0,7
"Iris-setosa","Iris-virginica",0,7
"Iris-versicolor","Iris-virginica",2,7
"Iris-virginica","Iris-virginica",23,7
"Iris-setosa","Iris-setosa",16,9
"Iris-versicolor","Iris-setosa",0,9
"Iris-virginica","Iris-setosa",0,9
"Iris-setosa","Iris-versicolor",0,9
"Iris-versicolor","Iris-versicolor",19,9
"Iris-virginica","Iris-versicolor",0,9
"Iris-setosa","Iris-virginica",0,9
"Iris-versicolor","Iris-virginica",2,9
"Iris-virginica","Iris-virginica",23,9
"Iris-setosa","Iris-setosa",16,11
"Iris-versicolor","Iris-setosa",0,11
"Iris-virginica","Iris-setosa",0,11
"Iris-setosa","Iris-versicolor",0,11
"Iris-versicolor","Iris-versicolor",18,11
"Iris-virginica","Iris-versicolor",1,11
"Iris-setosa","Iris-virginica",0,11
"Iris-versicolor","Iris-virginica",2,11
"Iris-virginica","Iris-virginica",23,11
"Iris-setosa","Iris-setosa",16,13
"Iris-versicolor","Iris-setosa",0,13
"Iris-virginica","Iris-setosa",0,13
"Iris-setosa","Iris-versicolor",0,13
"Iris-versicolor","Iris-versicolor",18,13
"Iris-virginica","Iris-versicolor",1,13
"Iris-setosa","Iris-virginica",0,13
"Iris-versicolor","Iris-virginica",2,13
"Iris-virginica","Iris-virginica",23,13
"Iris-setosa","Iris-setosa",16,15
"Iris-versicolor","Iris-setosa",0,15
"Iris-virginica","Iris-setosa",0,15
"Iris-setosa","Iris-versicolor",0,15
"Iris-versicolor","Iris-versicolor",18,15
"Iris-virginica","Iris-versicolor",1,15
"Iris-setosa","Iris-virginica",0,15
"Iris-versicolor","Iris-virginica",2,15
"Iris-virginica","Iris-virginica",23,15
